label,message
ham,Reminder: report scheduled for tomorrow.
spam,You won't believe this offer on voucher. Click here!
spam,Your gift card reward is waiting. Confirm now!
ham,Don't forget to bring plan to the meeting.
ham,Reminder: update scheduled for tomorrow.
ham,Looking forward to our plan next week.
spam,Limited time: Save big on coupon.
spam,Free access to reward for a limited time.
ham,Let's catch up over lunch this weekend.
spam,"Special discount on deal, today only!"
ham,Can you help me with the presentation later?
ham,Let's catch up over plan this weekend.
ham,Hope you enjoyed the schedule today!
spam,Limited time: Save big on prize.
spam,Free access to cashback for a limited time.
ham,I just finished working on the lunch.
ham,Looking forward to our presentation next week.
ham,I just finished working on the event.
ham,Hope you enjoyed the deadline today!
spam,Limited time: Save big on coupon.
spam,"Special discount on coupon, today only!"
ham,I just finished working on the schedule.
spam,Exclusive deal! Get voucher now before it's too late.
spam,Congratulations! You've been selected for Bitcoin.
spam,Act now to claim your bonus prize.
ham,Please review the update when you have time.
spam,Congratulations! You've been selected for lottery.
spam,Congratulations! You've been selected for cashback.
ham,Let’s finalize the update before the deadline.
spam,Free access to coupon for a limited time.
ham,Reminder: report scheduled for tomorrow.
spam,Congratulations! You've been selected for credit card.
spam,"Special discount on Bitcoin, today only!"
ham,Looking forward to our review next week.
ham,I just finished working on the review.
spam,Act now to claim your reward prize.
ham,Hope you enjoyed the conference today!
ham,Don't forget to bring plan to the meeting.
spam,Act now to claim your prize prize.
ham,Hope you enjoyed the project today!
ham,Hope you enjoyed the presentation today!
spam,Your gift card reward is waiting. Confirm now!
ham,Let's catch up over trip this weekend.
ham,Have you seen the update about update?
ham,Let's catch up over task this weekend.
ham,I just finished working on the plan.
spam,Act now to claim your insurance prize.
ham,Have you seen the update about task?
ham,Have you seen the update about presentation?
ham,Let's catch up over trip this weekend.
ham,Looking forward to our update next week.
ham,Let’s finalize the lunch before the deadline.
ham,Looking forward to our discussion next week.
ham,Let's catch up over trip this weekend.
ham,Have you seen the update about discussion?
ham,Reminder: project scheduled for tomorrow.
spam,Urgent notice: Bitcoin alert for your account.
spam,Act now to claim your reward prize.
ham,Can you help me with the schedule later?
ham,Let's catch up over schedule this weekend.
ham,Let's catch up over trip this weekend.
ham,I just finished working on the project.
ham,Hope you enjoyed the presentation today!
spam,Exclusive deal! Get credit card now before it's too late.
ham,Hope you enjoyed the conference today!
ham,Let’s finalize the discussion before the deadline.
ham,Please review the presentation when you have time.
ham,Reminder: plan scheduled for tomorrow.
ham,Let's catch up over event this weekend.
spam,Limited time: Save big on insurance.
spam,Urgent notice: cashback alert for your account.
spam,Free access to bonus for a limited time.
spam,Act now to claim your iPhone prize.
ham,Let's catch up over presentation this weekend.
ham,Looking forward to our review next week.
spam,Free access to insurance for a limited time.
spam,Exclusive deal! Get Bitcoin now before it's too late.
ham,Looking forward to our task next week.
ham,Looking forward to our project next week.
spam,Act now to claim your credit card prize.
ham,I just finished working on the presentation.
ham,Please review the deadline when you have time.
spam,Limited time: Save big on reward.
spam,Urgent notice: deal alert for your account.
spam,"Special discount on prize, today only!"
ham,Can you help me with the report later?
spam,You won't believe this offer on lottery. Click here!
spam,Your voucher reward is waiting. Confirm now!
ham,Don't forget to bring review to the meeting.
spam,Your coupon reward is waiting. Confirm now!
