label,text
ham,Let me know if you need help with the project. 
spam,URGENT: Your account has been compromised. Verify now to secure it. 
spam,Congratulations! You've won a free iPhone. Click here to claim your prize. 🙂
ham,I'll call you when I leave the office. 
ham,Let me know if you need help with the project. 
spam,You are selected for a cash prize. Send your bank details immediately. 
ham,Don't forget to bring your laptop for the presentation. 
ham,Don't forget to bring your laptop for the presentation. 🙂
spam,Click this link to claim your reward before it expires! 
ham,Don't forget to bring your laptop for the presentation. 
spam,"This is not a joke! You have just won $10,000. 🙂"
spam,URGENT: Your account has been compromised. Verify now to secure it. 🙂
spam,Congratulations! You've won a free iPhone. Click here to claim your prize. 
spam,Click this link to claim your reward before it expires! 
spam,Congratulations! You've won a free iPhone. Click here to claim your prize. 
spam,Congratulations! You've won a free iPhone. Click here to claim your prize. 
ham,Don't forget to bring your laptop for the presentation. 🙂
ham,"Hey, are we still meeting for coffee later today? "
spam,You are selected for a cash prize. Send your bank details immediately. 
spam,URGENT: Your account has been compromised. Verify now to secure it. 
ham,"Lunch at 1 pm works for me, see you there! "
spam,URGENT: Your account has been compromised. Verify now to secure it. 🙂
ham,I'll call you when I leave the office. 
ham,"Lunch at 1 pm works for me, see you there! "
spam,URGENT: Your account has been compromised. Verify now to secure it. 
spam,"This is not a joke! You have just won $10,000. "
ham,"Lunch at 1 pm works for me, see you there! "
spam,URGENT: Your account has been compromised. Verify now to secure it. 
ham,I'll call you when I leave the office. 
spam,You are selected for a cash prize. Send your bank details immediately. 🙂
ham,"Lunch at 1 pm works for me, see you there! "
spam,"This is not a joke! You have just won $10,000. "
spam,URGENT: Your account has been compromised. Verify now to secure it. 
ham,Let me know if you need help with the project. 
spam,Congratulations! You've won a free iPhone. Click here to claim your prize. 🙂
spam,URGENT: Your account has been compromised. Verify now to secure it. 🙂
ham,"Lunch at 1 pm works for me, see you there! 🙂"
ham,I'll call you when I leave the office. 
ham,"Lunch at 1 pm works for me, see you there! "
ham,Let me know if you need help with the project. 🙂
ham,"Hey, are we still meeting for coffee later today? "
ham,Let me know if you need help with the project. 
ham,I'll call you when I leave the office. 
ham,Let me know if you need help with the project. 
spam,"This is not a joke! You have just won $10,000. "
ham,I'll call you when I leave the office. 
ham,"Lunch at 1 pm works for me, see you there! 🙂"
spam,"This is not a joke! You have just won $10,000. "
ham,I'll call you when I leave the office. 
ham,"Hey, are we still meeting for coffee later today? "
spam,You are selected for a cash prize. Send your bank details immediately. 
ham,Don't forget to bring your laptop for the presentation. 
spam,Click this link to claim your reward before it expires! 
spam,You are selected for a cash prize. Send your bank details immediately. 
spam,"This is not a joke! You have just won $10,000. "
spam,"This is not a joke! You have just won $10,000. "
spam,Click this link to claim your reward before it expires! 
ham,I'll call you when I leave the office. 🙂
ham,"Hey, are we still meeting for coffee later today? "
ham,Don't forget to bring your laptop for the presentation. 
ham,Let me know if you need help with the project. 
ham,"Hey, are we still meeting for coffee later today? 🙂"
spam,You are selected for a cash prize. Send your bank details immediately. 
ham,Let me know if you need help with the project. 
spam,Congratulations! You've won a free iPhone. Click here to claim your prize. 
spam,URGENT: Your account has been compromised. Verify now to secure it. 
ham,"Lunch at 1 pm works for me, see you there! 🙂"
spam,URGENT: Your account has been compromised. Verify now to secure it. 
spam,You are selected for a cash prize. Send your bank details immediately. 
spam,Click this link to claim your reward before it expires! 
spam,"This is not a joke! You have just won $10,000. "
ham,"Lunch at 1 pm works for me, see you there! "
ham,"Lunch at 1 pm works for me, see you there! "
spam,You are selected for a cash prize. Send your bank details immediately. 
ham,Don't forget to bring your laptop for the presentation. 
spam,URGENT: Your account has been compromised. Verify now to secure it. 
ham,I'll call you when I leave the office. 
ham,Don't forget to bring your laptop for the presentation. 
ham,"Lunch at 1 pm works for me, see you there! 🙂"
spam,URGENT: Your account has been compromised. Verify now to secure it. 
ham,Let me know if you need help with the project. 
spam,Click this link to claim your reward before it expires! 🙂
ham,"Lunch at 1 pm works for me, see you there! 🙂"
spam,Click this link to claim your reward before it expires! 
ham,Let me know if you need help with the project. 
ham,"Hey, are we still meeting for coffee later today? "
ham,"Lunch at 1 pm works for me, see you there! "
